survtype,countryname,yearweek,pathogen,pathogentype,pathogensubtype,indicator,age,value
primary care sentinel,Austria,2023-W48,Influenza,Influenza,total,detections,total,7
primary care sentinel,Austria,2023-W48,Influenza,Influenza,total,positivity,total,2.7
primary care sentinel,Austria,2023-W48,Influenza,Influenza,total,tests,total,258
primary care sentinel,Austria,2023-W48,Influenza,Influenza A,A(H1)pdm09,detections,total,5
primary care sentinel,Austria,2023-W48,Influenza,Influenza A,A(H3),detections,total,2
primary care sentinel,Austria,2023-W48,Influenza,Influenza A,total,detections,total,7
primary care sentinel,Austria,2023-W48,RSV,RSV,RSV,tests,total,0
primary care sentinel,Austria,2023-W47,Influenza,Influenza,total,tests,total,207
primary care sentinel,Austria,2023-W47,RSV,RSV,RSV,tests,total,0
primary care sentinel,Austria,2023-W46,Influenza,Influenza,total,tests,total,192
primary care sentinel,Austria,2023-W46,RSV,RSV,RSV,tests,total,0
primary care sentinel,Austria,2023-W45,Influenza,Influenza,total,tests,total,168
primary care sentinel,Austria,2023-W45,RSV,RSV,RSV,tests,total,0
primary care sentinel,Austria,2023-W44,Influenza,Influenza,total,tests,total,91
primary care sentinel,Austria,2023-W44,RSV,RSV,RSV,tests,total,0
primary care sentinel,Austria,2023-W43,Influenza,Influenza,total,detections,total,1
primary care sentinel,Austria,2023-W43,Influenza,Influenza,total,positivity,total,1
primary care sentinel,Austria,2023-W43,Influenza,Influenza,total,tests,total,97
primary care sentinel,Austria,2023-W43,Influenza,Influenza A,A(H3),detections,total,1
primary care sentinel,Austria,2023-W43,Influenza,Influenza A,total,detections,total,1
primary care sentinel,Austria,2023-W43,RSV,RSV,RSV,tests,total,0
primary care sentinel,Austria,2023-W42,Influenza,Influenza,total,tests,total,155
primary care sentinel,Austria,2023-W42,RSV,RSV,RSV,tests,total,0
primary care sentinel,Austria,2023-W41,Influenza,Influenza,total,tests,total,126
primary care sentinel,Austria,2023-W41,RSV,RSV,RSV,tests,total,0
primary care sentinel,Austria,2023-W40,Influenza,Influenza,total,tests,total,91
primary care sentinel,Austria,2023-W40,RSV,RSV,RSV,tests,total,0
