survtype,datasource,countryname,yearweek,pathogen,indicator,age,value,detectableprevalence
SARS-CoV-2 variant,GISAID,Austria,2025-W04,SARS-CoV-2,2-week count of sequences,total,0,No data
SARS-CoV-2 variant,GISAID,Austria,2025-W03,SARS-CoV-2,2-week count of sequences,total,2,>15%
SARS-CoV-2 variant,GISAID,Austria,2025-W02,SARS-CoV-2,2-week count of sequences,total,2,>15%
SARS-CoV-2 variant,GISAID,Austria,2025-W01,SARS-CoV-2,2-week count of sequences,total,0,No data
SARS-CoV-2 variant,GISAID,Austria,2024-W52,SARS-CoV-2,2-week count of sequences,total,3,>15%
SARS-CoV-2 variant,GISAID,Austria,2024-W51,SARS-CoV-2,2-week count of sequences,total,3,>15%
SARS-CoV-2 variant,GISAID,Austria,2024-W50,SARS-CoV-2,2-week count of sequences,total,0,No data
SARS-CoV-2 variant,GISAID,Austria,2024-W49,SARS-CoV-2,2-week count of sequences,total,0,No data
SARS-CoV-2 variant,GISAID,Austria,2024-W48,SARS-CoV-2,2-week count of sequences,total,0,No data
SARS-CoV-2 variant,GISAID,Austria,2024-W47,SARS-CoV-2,2-week count of sequences,total,0,No data
SARS-CoV-2 variant,GISAID,Austria,2024-W46,SARS-CoV-2,2-week count of sequences,total,3,>15%
SARS-CoV-2 variant,GISAID,Austria,2024-W45,SARS-CoV-2,2-week count of sequences,total,8,>15%
SARS-CoV-2 variant,GISAID,Austria,2024-W44,SARS-CoV-2,2-week count of sequences,total,15,>15%
SARS-CoV-2 variant,GISAID,Austria,2024-W43,SARS-CoV-2,2-week count of sequences,total,27,>15%
SARS-CoV-2 variant,GISAID,Austria,2024-W42,SARS-CoV-2,2-week count of sequences,total,24,>15%
SARS-CoV-2 variant,GISAID,Austria,2024-W41,SARS-CoV-2,2-week count of sequences,total,16,>15%
SARS-CoV-2 variant,GISAID,Austria,2024-W40,SARS-CoV-2,2-week count of sequences,total,27,>15%
SARS-CoV-2 variant,GISAID,Austria,2024-W39,SARS-CoV-2,2-week count of sequences,total,46,>10% to 15%
SARS-CoV-2 variant,GISAID,Austria,2024-W38,SARS-CoV-2,2-week count of sequences,total,46,>10% to 15%
SARS-CoV-2 variant,GISAID,Austria,2024-W37,SARS-CoV-2,2-week count of sequences,total,26,>15%
SARS-CoV-2 variant,GISAID,Austria,2024-W36,SARS-CoV-2,2-week count of sequences,total,23,>15%
SARS-CoV-2 variant,GISAID,Austria,2024-W35,SARS-CoV-2,2-week count of sequences,total,29,>15%
SARS-CoV-2 variant,GISAID,Austria,2024-W34,SARS-CoV-2,2-week count of sequences,total,25,>15%
SARS-CoV-2 variant,GISAID,Austria,2024-W33,SARS-CoV-2,2-week count of sequences,total,48,>10% to 15%
SARS-CoV-2 variant,GISAID,Austria,2024-W32,SARS-CoV-2,2-week count of sequences,total,63,>5% to 10%
SARS-CoV-2 variant,GISAID,Austria,2024-W31,SARS-CoV-2,2-week count of sequences,total,61,>5% to 10%
SARS-CoV-2 variant,GISAID,Austria,2024-W30,SARS-CoV-2,2-week count of sequences,total,45,>10% to 15%
SARS-CoV-2 variant,GISAID,Austria,2024-W29,SARS-CoV-2,2-week count of sequences,total,22,>15%
SARS-CoV-2 variant,GISAID,Austria,2024-W28,SARS-CoV-2,2-week count of sequences,total,32,>15%
SARS-CoV-2 variant,GISAID,Austria,2024-W27,SARS-CoV-2,2-week count of sequences,total,32,>15%
SARS-CoV-2 variant,GISAID,Austria,2024-W26,SARS-CoV-2,2-week count of sequences,total,24,>15%
SARS-CoV-2 variant,GISAID,Austria,2024-W25,SARS-CoV-2,2-week count of sequences,total,18,>15%
SARS-CoV-2 variant,GISAID,Austria,2024-W24,SARS-CoV-2,2-week count of sequences,total,9,>15%
SARS-CoV-2 variant,GISAID,Austria,2024-W23,SARS-CoV-2,2-week count of sequences,total,9,>15%
SARS-CoV-2 variant,GISAID,Austria,2024-W22,SARS-CoV-2,2-week count of sequences,total,9,>15%
SARS-CoV-2 variant,GISAID,Austria,2024-W21,SARS-CoV-2,2-week count of sequences,total,5,>15%
SARS-CoV-2 variant,GISAID,Austria,2024-W20,SARS-CoV-2,2-week count of sequences,total,2,>15%
SARS-CoV-2 variant,GISAID,Austria,2024-W19,SARS-CoV-2,2-week count of sequences,total,2,>15%
SARS-CoV-2 variant,GISAID,Austria,2024-W18,SARS-CoV-2,2-week count of sequences,total,4,>15%
SARS-CoV-2 variant,GISAID,Austria,2024-W17,SARS-CoV-2,2-week count of sequences,total,4,>15%
SARS-CoV-2 variant,GISAID,Austria,2024-W16,SARS-CoV-2,2-week count of sequences,total,4,>15%
SARS-CoV-2 variant,GISAID,Austria,2024-W15,SARS-CoV-2,2-week count of sequences,total,5,>15%
SARS-CoV-2 variant,GISAID,Austria,2024-W14,SARS-CoV-2,2-week count of sequences,total,5,>15%
SARS-CoV-2 variant,GISAID,Austria,2024-W13,SARS-CoV-2,2-week count of sequences,total,5,>15%
SARS-CoV-2 variant,GISAID,Austria,2024-W12,SARS-CoV-2,2-week count of sequences,total,4,>15%
SARS-CoV-2 variant,GISAID,Austria,2024-W11,SARS-CoV-2,2-week count of sequences,total,8,>15%
SARS-CoV-2 variant,GISAID,Austria,2024-W10,SARS-CoV-2,2-week count of sequences,total,12,>15%
SARS-CoV-2 variant,GISAID,Austria,2024-W09,SARS-CoV-2,2-week count of sequences,total,9,>15%
SARS-CoV-2 variant,GISAID,Austria,2024-W08,SARS-CoV-2,2-week count of sequences,total,18,>15%
SARS-CoV-2 variant,GISAID,Austria,2024-W07,SARS-CoV-2,2-week count of sequences,total,36,>15%
SARS-CoV-2 variant,GISAID,Austria,2024-W06,SARS-CoV-2,2-week count of sequences,total,51,>10% to 15%
SARS-CoV-2 variant,GISAID,Austria,2024-W05,SARS-CoV-2,2-week count of sequences,total,62,>5% to 10%
SARS-CoV-2 variant,GISAID,Austria,2024-W04,SARS-CoV-2,2-week count of sequences,total,72,>5% to 10%
SARS-CoV-2 variant,GISAID,Austria,2024-W03,SARS-CoV-2,2-week count of sequences,total,118,>2.5% to 5%
SARS-CoV-2 variant,GISAID,Austria,2024-W02,SARS-CoV-2,2-week count of sequences,total,191,>2.5% to 5%
SARS-CoV-2 variant,GISAID,Austria,2024-W01,SARS-CoV-2,2-week count of sequences,total,224,>2.5% to 5%
SARS-CoV-2 variant,GISAID,Austria,2023-W52,SARS-CoV-2,2-week count of sequences,total,226,>2.5% to 5%
SARS-CoV-2 variant,GISAID,Austria,2023-W51,SARS-CoV-2,2-week count of sequences,total,298,>1% to 2.5%
SARS-CoV-2 variant,GISAID,Austria,2023-W50,SARS-CoV-2,2-week count of sequences,total,360,>1% to 2.5%
SARS-CoV-2 variant,GISAID,Austria,2023-W49,SARS-CoV-2,2-week count of sequences,total,415,>1% to 2.5%
SARS-CoV-2 variant,GISAID,Austria,2023-W48,SARS-CoV-2,2-week count of sequences,total,517,>1% to 2.5%
SARS-CoV-2 variant,GISAID,Austria,2023-W47,SARS-CoV-2,2-week count of sequences,total,495,>1% to 2.5%
SARS-CoV-2 variant,GISAID,Austria,2023-W46,SARS-CoV-2,2-week count of sequences,total,370,>1% to 2.5%
SARS-CoV-2 variant,GISAID,Austria,2023-W45,SARS-CoV-2,2-week count of sequences,total,311,>1% to 2.5%
SARS-CoV-2 variant,GISAID,Austria,2023-W44,SARS-CoV-2,2-week count of sequences,total,314,>1% to 2.5%
SARS-CoV-2 variant,GISAID,Austria,2023-W43,SARS-CoV-2,2-week count of sequences,total,297,>1% to 2.5%
SARS-CoV-2 variant,GISAID,Austria,2023-W42,SARS-CoV-2,2-week count of sequences,total,267,>1% to 2.5%
SARS-CoV-2 variant,GISAID,Austria,2023-W41,SARS-CoV-2,2-week count of sequences,total,230,>2.5% to 5%
SARS-CoV-2 variant,GISAID,Austria,2023-W40,SARS-CoV-2,2-week count of sequences,total,200,>2.5% to 5%
SARS-CoV-2 variant,GISAID,Austria,2023-W39,SARS-CoV-2,2-week count of sequences,total,179,>2.5% to 5%
SARS-CoV-2 variant,GISAID,Austria,2023-W38,SARS-CoV-2,2-week count of sequences,total,152,>2.5% to 5%
SARS-CoV-2 variant,GISAID,Austria,2023-W37,SARS-CoV-2,2-week count of sequences,total,140,>2.5% to 5%
SARS-CoV-2 variant,GISAID,Austria,2023-W36,SARS-CoV-2,2-week count of sequences,total,130,>2.5% to 5%
SARS-CoV-2 variant,GISAID,Austria,2023-W35,SARS-CoV-2,2-week count of sequences,total,118,>2.5% to 5%
SARS-CoV-2 variant,GISAID,Austria,2023-W34,SARS-CoV-2,2-week count of sequences,total,92,>5% to 10%
SARS-CoV-2 variant,GISAID,Austria,2023-W33,SARS-CoV-2,2-week count of sequences,total,56,>10% to 15%
SARS-CoV-2 variant,GISAID,Austria,2023-W32,SARS-CoV-2,2-week count of sequences,total,32,>15%
SARS-CoV-2 variant,GISAID,Austria,2023-W31,SARS-CoV-2,2-week count of sequences,total,16,>15%
SARS-CoV-2 variant,GISAID,Austria,2023-W30,SARS-CoV-2,2-week count of sequences,total,11,>15%
SARS-CoV-2 variant,GISAID,Austria,2023-W29,SARS-CoV-2,2-week count of sequences,total,8,>15%
SARS-CoV-2 variant,GISAID,Austria,2023-W28,SARS-CoV-2,2-week count of sequences,total,9,>15%
SARS-CoV-2 variant,GISAID,Austria,2023-W27,SARS-CoV-2,2-week count of sequences,total,173,>2.5% to 5%
SARS-CoV-2 variant,GISAID,Austria,2023-W26,SARS-CoV-2,2-week count of sequences,total,421,>1% to 2.5%
SARS-CoV-2 variant,GISAID,Austria,2023-W25,SARS-CoV-2,2-week count of sequences,total,508,>1% to 2.5%
SARS-CoV-2 variant,GISAID,Austria,2023-W24,SARS-CoV-2,2-week count of sequences,total,574,>1% to 2.5%
SARS-CoV-2 variant,GISAID,Austria,2023-W23,SARS-CoV-2,2-week count of sequences,total,703,≤1%
SARS-CoV-2 variant,GISAID,Austria,2023-W22,SARS-CoV-2,2-week count of sequences,total,689,≤1%
SARS-CoV-2 variant,GISAID,Austria,2023-W21,SARS-CoV-2,2-week count of sequences,total,591,>1% to 2.5%
SARS-CoV-2 variant,GISAID,Austria,2023-W20,SARS-CoV-2,2-week count of sequences,total,341,>1% to 2.5%
SARS-CoV-2 variant,GISAID,Austria,2023-W19,SARS-CoV-2,2-week count of sequences,total,376,>1% to 2.5%
SARS-CoV-2 variant,GISAID,Austria,2023-W18,SARS-CoV-2,2-week count of sequences,total,845,≤1%
SARS-CoV-2 variant,GISAID,Austria,2023-W17,SARS-CoV-2,2-week count of sequences,total,1261,≤1%
SARS-CoV-2 variant,GISAID,Austria,2023-W16,SARS-CoV-2,2-week count of sequences,total,1553,≤1%
SARS-CoV-2 variant,GISAID,Austria,2023-W15,SARS-CoV-2,2-week count of sequences,total,1708,≤1%
SARS-CoV-2 variant,GISAID,Austria,2023-W14,SARS-CoV-2,2-week count of sequences,total,2071,≤1%
SARS-CoV-2 variant,GISAID,Austria,2023-W13,SARS-CoV-2,2-week count of sequences,total,3991,≤1%
SARS-CoV-2 variant,GISAID,Austria,2023-W12,SARS-CoV-2,2-week count of sequences,total,6376,≤1%
SARS-CoV-2 variant,GISAID,Austria,2023-W11,SARS-CoV-2,2-week count of sequences,total,8031,≤1%
SARS-CoV-2 variant,GISAID,Austria,2023-W10,SARS-CoV-2,2-week count of sequences,total,9698,≤1%
SARS-CoV-2 variant,GISAID,Austria,2023-W09,SARS-CoV-2,2-week count of sequences,total,9849,≤1%
SARS-CoV-2 variant,GISAID,Austria,2023-W08,SARS-CoV-2,2-week count of sequences,total,9400,≤1%
SARS-CoV-2 variant,GISAID,Austria,2023-W07,SARS-CoV-2,2-week count of sequences,total,8845,≤1%
SARS-CoV-2 variant,GISAID,Austria,2023-W06,SARS-CoV-2,2-week count of sequences,total,8086,≤1%
SARS-CoV-2 variant,GISAID,Austria,2023-W05,SARS-CoV-2,2-week count of sequences,total,7415,≤1%
SARS-CoV-2 variant,GISAID,Austria,2023-W04,SARS-CoV-2,2-week count of sequences,total,6385,≤1%
SARS-CoV-2 variant,GISAID,Austria,2023-W03,SARS-CoV-2,2-week count of sequences,total,6576,≤1%
SARS-CoV-2 variant,GISAID,Austria,2023-W02,SARS-CoV-2,2-week count of sequences,total,7440,≤1%
SARS-CoV-2 variant,GISAID,Austria,2023-W01,SARS-CoV-2,2-week count of sequences,total,7774,≤1%
SARS-CoV-2 variant,GISAID,Austria,2022-W52,SARS-CoV-2,2-week count of sequences,total,7988,≤1%
SARS-CoV-2 variant,GISAID,Austria,2022-W51,SARS-CoV-2,2-week count of sequences,total,8647,≤1%
SARS-CoV-2 variant,GISAID,Austria,2022-W50,SARS-CoV-2,2-week count of sequences,total,9299,≤1%
SARS-CoV-2 variant,GISAID,Austria,2022-W49,SARS-CoV-2,2-week count of sequences,total,10085,≤1%
SARS-CoV-2 variant,GISAID,Austria,2022-W48,SARS-CoV-2,2-week count of sequences,total,10299,≤1%
SARS-CoV-2 variant,GISAID,Austria,2022-W47,SARS-CoV-2,2-week count of sequences,total,10160,≤1%
SARS-CoV-2 variant,GISAID,Austria,2022-W46,SARS-CoV-2,2-week count of sequences,total,10323,≤1%
SARS-CoV-2 variant,GISAID,Austria,2022-W45,SARS-CoV-2,2-week count of sequences,total,10036,≤1%
SARS-CoV-2 variant,GISAID,Austria,2022-W44,SARS-CoV-2,2-week count of sequences,total,10303,≤1%
