survtype,countryname,yearweek,indicator,age,value
primary care syndromic,Austria,2023-W52,ILIconsultationrate,0-4,1825.72614107884
primary care syndromic,Austria,2023-W52,ILIconsultationrate,15-64,2708.65075334349
primary care syndromic,Austria,2023-W52,ILIconsultationrate,5-14,1742.30145867099
primary care syndromic,Austria,2023-W52,ILIconsultationrate,65+,1142.53070551271
primary care syndromic,Austria,2023-W52,ILIconsultationrate,total,2238.25574046766
primary care syndromic,Austria,2023-W51,ILIconsultationrate,0-4,774.336283185841
primary care syndromic,Austria,2023-W51,ILIconsultationrate,15-64,4060.2992957746505
primary care syndromic,Austria,2023-W51,ILIconsultationrate,5-14,3052.40410588871
primary care syndromic,Austria,2023-W51,ILIconsultationrate,65+,2190.86520608986
primary care syndromic,Austria,2023-W51,ILIconsultationrate,total,3209.76230408883
primary care syndromic,Austria,2023-W50,ILIconsultationrate,0-4,2157.67634854772
primary care syndromic,Austria,2023-W50,ILIconsultationrate,15-64,4488.33034111311
primary care syndromic,Austria,2023-W50,ILIconsultationrate,5-14,1600.48622366289
primary care syndromic,Austria,2023-W50,ILIconsultationrate,65+,1133.47664647254
primary care syndromic,Austria,2023-W50,ILIconsultationrate,total,3242.51597712748
primary care syndromic,Austria,2023-W48,ILIconsultationrate,0-4,995.575221238938
primary care syndromic,Austria,2023-W48,ILIconsultationrate,15-64,3178.67840332539
primary care syndromic,Austria,2023-W48,ILIconsultationrate,5-14,1134.52188006483
primary care syndromic,Austria,2023-W48,ILIconsultationrate,65+,1237.62376237624
primary care syndromic,Austria,2023-W48,ILIconsultationrate,total,2395.47853426657
primary care syndromic,Austria,2023-W47,ILIconsultationrate,0-4,1161.63292399602
primary care syndromic,Austria,2023-W47,ILIconsultationrate,15-64,4575.46304786356
primary care syndromic,Austria,2023-W47,ILIconsultationrate,5-14,923.8249594813609
primary care syndromic,Austria,2023-W47,ILIconsultationrate,65+,1763.61386138614
primary care syndromic,Austria,2023-W47,ILIconsultationrate,total,2778.61155182025
primary care syndromic,Austria,2023-W46,ILIconsultationrate,0-4,0
primary care syndromic,Austria,2023-W46,ILIconsultationrate,15-64,3270.37104957516
primary care syndromic,Austria,2023-W46,ILIconsultationrate,5-14,1264.18152350081
primary care syndromic,Austria,2023-W46,ILIconsultationrate,65+,1051.9801980198
primary care syndromic,Austria,2023-W46,ILIconsultationrate,total,2184.92925304376
primary care syndromic,Austria,2023-W45,ILIconsultationrate,0-4,0
primary care syndromic,Austria,2023-W45,ILIconsultationrate,15-64,3197.85434289251
primary care syndromic,Austria,2023-W45,ILIconsultationrate,5-14,1337.11507293355
primary care syndromic,Austria,2023-W45,ILIconsultationrate,65+,1346.01995822697
primary care syndromic,Austria,2023-W45,ILIconsultationrate,total,2248.43487555352
primary care syndromic,Austria,2023-W44,ILIconsultationrate,0-4,2710.17699115044
primary care syndromic,Austria,2023-W44,ILIconsultationrate,15-64,2837.38112080484
primary care syndromic,Austria,2023-W44,ILIconsultationrate,5-14,0
primary care syndromic,Austria,2023-W44,ILIconsultationrate,65+,1326.2599469496
primary care syndromic,Austria,2023-W44,ILIconsultationrate,total,2090.6240058173894
primary care syndromic,Austria,2023-W43,ILIconsultationrate,0-4,0
primary care syndromic,Austria,2023-W43,ILIconsultationrate,15-64,3123.41289994921
primary care syndromic,Austria,2023-W43,ILIconsultationrate,5-14,1345.2188006483
primary care syndromic,Austria,2023-W43,ILIconsultationrate,65+,1742.35932590688
primary care syndromic,Austria,2023-W43,ILIconsultationrate,total,2094.04849375459
primary care syndromic,Austria,2023-W42,ILIconsultationrate,0-4,1161.63292399602
primary care syndromic,Austria,2023-W42,ILIconsultationrate,15-64,3112.47347323744
primary care syndromic,Austria,2023-W42,ILIconsultationrate,5-14,1118.31442463533
primary care syndromic,Austria,2023-W42,ILIconsultationrate,65+,1140.58355437666
primary care syndromic,Austria,2023-W42,ILIconsultationrate,total,2114.81539180558
primary care syndromic,Austria,2023-W41,ILIconsultationrate,0-4,0
primary care syndromic,Austria,2023-W41,ILIconsultationrate,15-64,2593.72789436454
primary care syndromic,Austria,2023-W41,ILIconsultationrate,5-14,1418.15235008104
primary care syndromic,Austria,2023-W41,ILIconsultationrate,65+,848.806366047745
primary care syndromic,Austria,2023-W41,ILIconsultationrate,total,1968.66012099574
primary care syndromic,Austria,2023-W40,ILIconsultationrate,0-4,0
primary care syndromic,Austria,2023-W40,ILIconsultationrate,15-64,2294.8758252122
primary care syndromic,Austria,2023-W40,ILIconsultationrate,5-14,0
primary care syndromic,Austria,2023-W40,ILIconsultationrate,65+,106.100795755968
primary care syndromic,Austria,2023-W40,ILIconsultationrate,total,1467.6715589052
primary care syndromic,Austria,2023-W13,ILIconsultationrate,0-4,2762.43093922652
primary care syndromic,Austria,2023-W13,ILIconsultationrate,15-64,2986.26636857234
primary care syndromic,Austria,2023-W13,ILIconsultationrate,5-14,1267.32673267327
primary care syndromic,Austria,2023-W13,ILIconsultationrate,65+,434.54644215100507
primary care syndromic,Austria,2023-W13,ILIconsultationrate,total,2285.22852285229
primary care syndromic,Austria,2023-W12,ILIconsultationrate,0-4,8052.631578947369
primary care syndromic,Austria,2023-W12,ILIconsultationrate,15-64,3116.04834765598
primary care syndromic,Austria,2023-W12,ILIconsultationrate,5-14,4382.25976768743
primary care syndromic,Austria,2023-W12,ILIconsultationrate,65+,546.577946768061
primary care syndromic,Austria,2023-W12,ILIconsultationrate,total,3254.98781444917
primary care syndromic,Austria,2023-W11,ILIconsultationrate,0-4,5485.39857932123
primary care syndromic,Austria,2023-W11,ILIconsultationrate,15-64,3332.63466778453
primary care syndromic,Austria,2023-W11,ILIconsultationrate,5-14,2475.24752475248
primary care syndromic,Austria,2023-W11,ILIconsultationrate,65+,380.228136882129
primary care syndromic,Austria,2023-W11,ILIconsultationrate,total,2899.82761923003
primary care syndromic,Austria,2023-W10,ILIconsultationrate,0-4,5564.32517758485
primary care syndromic,Austria,2023-W10,ILIconsultationrate,15-64,3590.21567596002
primary care syndromic,Austria,2023-W10,ILIconsultationrate,5-14,3009.90099009901
primary care syndromic,Austria,2023-W10,ILIconsultationrate,65+,581.525385819727
primary care syndromic,Austria,2023-W10,ILIconsultationrate,total,3172.79829805964
primary care syndromic,Austria,2023-W09,ILIconsultationrate,0-4,10576.1641673244
primary care syndromic,Austria,2023-W09,ILIconsultationrate,15-64,3248.79480192832
primary care syndromic,Austria,2023-W09,ILIconsultationrate,5-14,4752.47524752475
primary care syndromic,Austria,2023-W09,ILIconsultationrate,65+,403.992395437262
primary care syndromic,Austria,2023-W09,ILIconsultationrate,total,3298.52552323757
primary care syndromic,Austria,2023-W08,ILIconsultationrate,0-4,7024.46724546172
primary care syndromic,Austria,2023-W08,ILIconsultationrate,15-64,3143.99496960805
primary care syndromic,Austria,2023-W08,ILIconsultationrate,5-14,4237.62376237624
primary care syndromic,Austria,2023-W08,ILIconsultationrate,65+,1259.50570342205
primary care syndromic,Austria,2023-W08,ILIconsultationrate,total,3132.7029086182906
primary care syndromic,Austria,2023-W07,ILIconsultationrate,0-4,4459.35280189424
primary care syndromic,Austria,2023-W07,ILIconsultationrate,15-64,2932.66701735928
primary care syndromic,Austria,2023-W07,ILIconsultationrate,5-14,1742.57425742574
primary care syndromic,Austria,2023-W07,ILIconsultationrate,65+,581.525385819727
primary care syndromic,Austria,2023-W07,ILIconsultationrate,total,2468.54711513773
primary care syndromic,Austria,2023-W06,ILIconsultationrate,0-4,4735.59589581689
primary care syndromic,Austria,2023-W06,ILIconsultationrate,15-64,2176.8547390716
primary care syndromic,Austria,2023-W06,ILIconsultationrate,5-14,1584.15841584158
primary care syndromic,Austria,2023-W06,ILIconsultationrate,65+,1380.82849709826
primary care syndromic,Austria,2023-W06,ILIconsultationrate,total,2160.38947866658
primary care syndromic,Austria,2023-W05,ILIconsultationrate,0-4,4222.57300710339
primary care syndromic,Austria,2023-W05,ILIconsultationrate,15-64,2294.8448185165694
primary care syndromic,Austria,2023-W05,ILIconsultationrate,5-14,1722.77227722772
primary care syndromic,Austria,2023-W05,ILIconsultationrate,65+,492.059941847461
primary care syndromic,Austria,2023-W05,ILIconsultationrate,total,2072.40582474416
primary care syndromic,Austria,2023-W04,ILIconsultationrate,0-4,4340.96290449882
primary care syndromic,Austria,2023-W04,ILIconsultationrate,15-64,2188.62152144496
primary care syndromic,Austria,2023-W04,ILIconsultationrate,5-14,2237.62376237624
primary care syndromic,Austria,2023-W04,ILIconsultationrate,65+,760.4562737642591
primary care syndromic,Austria,2023-W04,ILIconsultationrate,total,2140.10413144905
primary care syndromic,Austria,2023-W03,ILIconsultationrate,0-4,4183.10970797159
primary care syndromic,Austria,2023-W03,ILIconsultationrate,15-64,2482.79108077896
primary care syndromic,Austria,2023-W03,ILIconsultationrate,5-14,1960.39603960396
primary care syndromic,Austria,2023-W03,ILIconsultationrate,65+,1721.03261957174
primary care syndromic,Austria,2023-W03,ILIconsultationrate,total,2410.57542768274
primary care syndromic,Austria,2023-W02,ILIconsultationrate,0-4,4301.49960536701
