survtype,countryname,yearweek,pathogen,pathogentype,indicator,age,value
non-sentinel,Austria,2023-W25,SARS-CoV-2,SARS-CoV-2,deaths,0-4,0
non-sentinel,Austria,2023-W25,SARS-CoV-2,SARS-CoV-2,deaths,15-64,2
non-sentinel,Austria,2023-W25,SARS-CoV-2,SARS-CoV-2,deaths,5-14,0
non-sentinel,Austria,2023-W25,SARS-CoV-2,SARS-CoV-2,deaths,65+,3
non-sentinel,Austria,2023-W25,SARS-CoV-2,SARS-CoV-2,deaths,total,5
non-sentinel,Austria,2023-W24,SARS-CoV-2,SARS-CoV-2,deaths,0-4,0
non-sentinel,Austria,2023-W24,SARS-CoV-2,SARS-CoV-2,deaths,15-64,0
non-sentinel,Austria,2023-W24,SARS-CoV-2,SARS-CoV-2,deaths,5-14,0
non-sentinel,Austria,2023-W24,SARS-CoV-2,SARS-CoV-2,deaths,65+,5
non-sentinel,Austria,2023-W24,SARS-CoV-2,SARS-CoV-2,deaths,total,5
non-sentinel,Austria,2023-W24,SARS-CoV-2,SARS-CoV-2,hospitaladmissions,15-64,1
non-sentinel,Austria,2023-W24,SARS-CoV-2,SARS-CoV-2,hospitaladmissions,total,1
non-sentinel,Austria,2023-W23,SARS-CoV-2,SARS-CoV-2,deaths,0-4,0
non-sentinel,Austria,2023-W23,SARS-CoV-2,SARS-CoV-2,deaths,15-64,0
non-sentinel,Austria,2023-W23,SARS-CoV-2,SARS-CoV-2,deaths,5-14,0
non-sentinel,Austria,2023-W23,SARS-CoV-2,SARS-CoV-2,deaths,65+,7
non-sentinel,Austria,2023-W23,SARS-CoV-2,SARS-CoV-2,deaths,total,7
non-sentinel,Austria,2023-W23,SARS-CoV-2,SARS-CoV-2,hospitaladmissions,15-64,1
non-sentinel,Austria,2023-W23,SARS-CoV-2,SARS-CoV-2,hospitaladmissions,65+,1
non-sentinel,Austria,2023-W23,SARS-CoV-2,SARS-CoV-2,hospitaladmissions,total,2
non-sentinel,Austria,2023-W22,SARS-CoV-2,SARS-CoV-2,deaths,0-4,0
non-sentinel,Austria,2023-W22,SARS-CoV-2,SARS-CoV-2,deaths,15-64,0
non-sentinel,Austria,2023-W22,SARS-CoV-2,SARS-CoV-2,deaths,5-14,0
non-sentinel,Austria,2023-W22,SARS-CoV-2,SARS-CoV-2,deaths,65+,9
non-sentinel,Austria,2023-W22,SARS-CoV-2,SARS-CoV-2,deaths,total,9
non-sentinel,Austria,2023-W22,SARS-CoV-2,SARS-CoV-2,hospitaladmissions,15-64,2
non-sentinel,Austria,2023-W22,SARS-CoV-2,SARS-CoV-2,hospitaladmissions,65+,2
non-sentinel,Austria,2023-W22,SARS-CoV-2,SARS-CoV-2,hospitaladmissions,total,4
non-sentinel,Austria,2023-W21,SARS-CoV-2,SARS-CoV-2,deaths,0-4,0
non-sentinel,Austria,2023-W21,SARS-CoV-2,SARS-CoV-2,deaths,15-64,0
non-sentinel,Austria,2023-W21,SARS-CoV-2,SARS-CoV-2,deaths,5-14,0
