survtype,datasource,countryname,yearweek,pathogen,variant,indicator,age,value
SARS-CoV-2 variant,GISAID,Austria,2024-W02,SARS-CoV-2,BA.2.86,detections,total,31
SARS-CoV-2 variant,GISAID,Austria,2024-W02,SARS-CoV-2,XBB.1.5-like,detections,total,2
SARS-CoV-2 variant,GISAID,Austria,2024-W02,SARS-CoV-2,XBB.1.5-like+F456L,detections,total,9
SARS-CoV-2 variant,GISAID,Austria,2024-W02,SARS-CoV-2,BA.2.86,proportion,total,73.8
SARS-CoV-2 variant,GISAID,Austria,2024-W02,SARS-CoV-2,XBB.1.5-like,proportion,total,4.8
SARS-CoV-2 variant,GISAID,Austria,2024-W02,SARS-CoV-2,XBB.1.5-like+F456L,proportion,total,21.4
SARS-CoV-2 variant,GISAID,Austria,2024-W01,SARS-CoV-2,BA.2.86,detections,total,76
SARS-CoV-2 variant,GISAID,Austria,2024-W01,SARS-CoV-2,Other,detections,total,1
SARS-CoV-2 variant,GISAID,Austria,2024-W01,SARS-CoV-2,XBB.1.5-like,detections,total,1
SARS-CoV-2 variant,GISAID,Austria,2024-W01,SARS-CoV-2,XBB.1.5-like+F456L,detections,total,8
SARS-CoV-2 variant,GISAID,Austria,2024-W01,SARS-CoV-2,BA.2.86,proportion,total,88.4
SARS-CoV-2 variant,GISAID,Austria,2024-W01,SARS-CoV-2,Other,proportion,total,1.2
SARS-CoV-2 variant,GISAID,Austria,2024-W01,SARS-CoV-2,XBB.1.5-like,proportion,total,1.2
SARS-CoV-2 variant,GISAID,Austria,2024-W01,SARS-CoV-2,XBB.1.5-like+F456L,proportion,total,9.3
SARS-CoV-2 variant,GISAID,Austria,2023-W52,SARS-CoV-2,BA.2.86,detections,total,86
SARS-CoV-2 variant,GISAID,Austria,2023-W52,SARS-CoV-2,XBB.1.5-like,detections,total,3
SARS-CoV-2 variant,GISAID,Austria,2023-W52,SARS-CoV-2,XBB.1.5-like+F456L,detections,total,13
SARS-CoV-2 variant,GISAID,Austria,2023-W52,SARS-CoV-2,BA.2.86,proportion,total,84.3
SARS-CoV-2 variant,GISAID,Austria,2023-W52,SARS-CoV-2,XBB.1.5-like,proportion,total,2.9
SARS-CoV-2 variant,GISAID,Austria,2023-W52,SARS-CoV-2,XBB.1.5-like+F456L,proportion,total,12.7
SARS-CoV-2 variant,GISAID,Austria,2023-W51,SARS-CoV-2,BA.2.86,detections,total,70
SARS-CoV-2 variant,GISAID,Austria,2023-W51,SARS-CoV-2,XBB,detections,total,1
SARS-CoV-2 variant,GISAID,Austria,2023-W51,SARS-CoV-2,XBB.1.5-like,detections,total,3
SARS-CoV-2 variant,GISAID,Austria,2023-W51,SARS-CoV-2,XBB.1.5-like+F456L,detections,total,27
SARS-CoV-2 variant,GISAID,Austria,2023-W51,SARS-CoV-2,BA.2.86,proportion,total,69.3
SARS-CoV-2 variant,GISAID,Austria,2023-W51,SARS-CoV-2,XBB,proportion,total,1
SARS-CoV-2 variant,GISAID,Austria,2023-W51,SARS-CoV-2,XBB.1.5-like,proportion,total,3
SARS-CoV-2 variant,GISAID,Austria,2023-W51,SARS-CoV-2,XBB.1.5-like+F456L,proportion,total,26.7
SARS-CoV-2 variant,GISAID,Austria,2023-W50,SARS-CoV-2,BA.2.86,detections,total,106
SARS-CoV-2 variant,GISAID,Austria,2023-W50,SARS-CoV-2,XBB,detections,total,6
SARS-CoV-2 variant,GISAID,Austria,2023-W50,SARS-CoV-2,XBB.1.5-like,detections,total,10
SARS-CoV-2 variant,GISAID,Austria,2023-W50,SARS-CoV-2,XBB.1.5-like+F456L,detections,total,52
SARS-CoV-2 variant,GISAID,Austria,2023-W50,SARS-CoV-2,BA.2.86,proportion,total,60.9
SARS-CoV-2 variant,GISAID,Austria,2023-W50,SARS-CoV-2,XBB,proportion,total,3.4
