survtype,countryname,yearweek,pathogen,pathogentype,pathogensubtype,indicator,age,value
primary care sentinel,Austria,2024-W15,Influenza,Influenza,total,detections,total,2
primary care sentinel,Austria,2024-W15,Influenza,Influenza,total,positivity,total,2.4
primary care sentinel,Austria,2024-W15,Influenza,Influenza,total,tests,total,82
primary care sentinel,Austria,2024-W15,Influenza,Influenza B,B/Vic,detections,total,2
primary care sentinel,Austria,2024-W14,Influenza,Influenza,total,detections,total,7
primary care sentinel,Austria,2024-W14,Influenza,Influenza,total,positivity,total,8
primary care sentinel,Austria,2024-W14,Influenza,Influenza,total,tests,total,87
primary care sentinel,Austria,2024-W14,Influenza,Influenza A,A(H1)pdm09,detections,total,1
primary care sentinel,Austria,2024-W14,Influenza,Influenza B,B (unknown),detections,total,4
primary care sentinel,Austria,2024-W14,Influenza,Influenza B,B/Vic,detections,total,2
primary care sentinel,Austria,2024-W13,Influenza,Influenza,total,detections,total,9
primary care sentinel,Austria,2024-W13,Influenza,Influenza,total,positivity,total,6.5
primary care sentinel,Austria,2024-W13,Influenza,Influenza,total,tests,total,138
primary care sentinel,Austria,2024-W13,Influenza,Influenza A,A(H1)pdm09,detections,total,2
primary care sentinel,Austria,2024-W13,Influenza,Influenza B,B (unknown),detections,total,2
primary care sentinel,Austria,2024-W13,Influenza,Influenza B,B/Vic,detections,total,5
primary care sentinel,Austria,2024-W12,Influenza,Influenza,total,detections,total,5
primary care sentinel,Austria,2024-W12,Influenza,Influenza,total,positivity,total,3.9
primary care sentinel,Austria,2024-W12,Influenza,Influenza,total,tests,total,129
primary care sentinel,Austria,2024-W12,Influenza,Influenza A,A(H1)pdm09,detections,total,4
primary care sentinel,Austria,2024-W12,Influenza,Influenza B,B/Vic,detections,total,1
primary care sentinel,Austria,2024-W11,Influenza,Influenza,total,detections,total,29
primary care sentinel,Austria,2024-W11,Influenza,Influenza,total,positivity,total,17.4
primary care sentinel,Austria,2024-W11,Influenza,Influenza,total,tests,total,167
primary care sentinel,Austria,2024-W11,Influenza,Influenza A,A(H1)pdm09,detections,total,19
primary care sentinel,Austria,2024-W11,Influenza,Influenza A,A(H3),detections,total,1
primary care sentinel,Austria,2024-W11,Influenza,Influenza B,B/Vic,detections,total,9
primary care sentinel,Austria,2024-W10,Influenza,Influenza,total,detections,total,21
primary care sentinel,Austria,2024-W10,Influenza,Influenza,total,positivity,total,13.3
primary care sentinel,Austria,2024-W10,Influenza,Influenza,total,tests,total,158
primary care sentinel,Austria,2024-W10,Influenza,Influenza A,A(H1)pdm09,detections,total,16
primary care sentinel,Austria,2024-W10,Influenza,Influenza A,A(H3),detections,total,2
primary care sentinel,Austria,2024-W10,Influenza,Influenza B,B/Vic,detections,total,3
primary care sentinel,Austria,2024-W09,Influenza,Influenza,total,detections,total,23
primary care sentinel,Austria,2024-W09,Influenza,Influenza,total,positivity,total,13.5
primary care sentinel,Austria,2024-W09,Influenza,Influenza,total,tests,total,171
primary care sentinel,Austria,2024-W09,Influenza,Influenza A,A (unknown),detections,total,1
primary care sentinel,Austria,2024-W09,Influenza,Influenza A,A(H1)pdm09,detections,total,17
primary care sentinel,Austria,2024-W09,Influenza,Influenza A,A(H3),detections,total,2
primary care sentinel,Austria,2024-W09,Influenza,Influenza B,B/Vic,detections,total,3
primary care sentinel,Austria,2024-W08,Influenza,Influenza,total,detections,total,54
primary care sentinel,Austria,2024-W08,Influenza,Influenza,total,positivity,total,26.2
primary care sentinel,Austria,2024-W08,Influenza,Influenza,total,tests,total,206
primary care sentinel,Austria,2024-W08,Influenza,Influenza A,A(H1)pdm09,detections,total,42
primary care sentinel,Austria,2024-W08,Influenza,Influenza A,A(H3),detections,total,1
primary care sentinel,Austria,2024-W08,Influenza,Influenza B,B/Vic,detections,total,11
primary care sentinel,Austria,2024-W07,Influenza,Influenza,total,detections,total,71
primary care sentinel,Austria,2024-W07,Influenza,Influenza,total,positivity,total,24.1
primary care sentinel,Austria,2024-W07,Influenza,Influenza,total,tests,total,294
primary care sentinel,Austria,2024-W07,Influenza,Influenza A,A(H1)pdm09,detections,total,58
primary care sentinel,Austria,2024-W07,Influenza,Influenza A,A(H3),detections,total,4
primary care sentinel,Austria,2024-W07,Influenza,Influenza B,B (unknown),detections,total,1
primary care sentinel,Austria,2024-W07,Influenza,Influenza B,B/Vic,detections,total,8
primary care sentinel,Austria,2024-W07,RSV,RSV,RSV,tests,total,0
primary care sentinel,Austria,2024-W06,Influenza,Influenza,total,detections,total,116
primary care sentinel,Austria,2024-W06,Influenza,Influenza,total,positivity,total,34
primary care sentinel,Austria,2024-W06,Influenza,Influenza,total,tests,total,341
primary care sentinel,Austria,2024-W06,Influenza,Influenza A,A(H1)pdm09,detections,total,106
primary care sentinel,Austria,2024-W06,Influenza,Influenza A,A(H3),detections,total,3
primary care sentinel,Austria,2024-W06,Influenza,Influenza B,B (unknown),detections,total,1
primary care sentinel,Austria,2024-W06,Influenza,Influenza B,B/Vic,detections,total,6
primary care sentinel,Austria,2024-W06,RSV,RSV,RSV,tests,total,0
primary care sentinel,Austria,2024-W05,Influenza,Influenza,total,detections,total,112
primary care sentinel,Austria,2024-W05,Influenza,Influenza,total,positivity,total,33.9
primary care sentinel,Austria,2024-W05,Influenza,Influenza,total,tests,total,330
primary care sentinel,Austria,2024-W05,Influenza,Influenza A,A(H1)pdm09,detections,total,101
primary care sentinel,Austria,2024-W05,Influenza,Influenza A,A(H3),detections,total,7
primary care sentinel,Austria,2024-W05,Influenza,Influenza B,B (unknown),detections,total,1
primary care sentinel,Austria,2024-W05,Influenza,Influenza B,B/Vic,detections,total,3
primary care sentinel,Austria,2024-W05,RSV,RSV,RSV,tests,total,0
primary care sentinel,Austria,2024-W04,Influenza,Influenza,total,detections,total,99
primary care sentinel,Austria,2024-W04,Influenza,Influenza,total,positivity,total,30.8
primary care sentinel,Austria,2024-W04,Influenza,Influenza,total,tests,total,321
primary care sentinel,Austria,2024-W04,Influenza,Influenza A,A (unknown),detections,total,1
primary care sentinel,Austria,2024-W04,Influenza,Influenza A,A(H1)pdm09,detections,total,88
primary care sentinel,Austria,2024-W04,Influenza,Influenza A,A(H3),detections,total,5
primary care sentinel,Austria,2024-W04,Influenza,Influenza B,B (unknown),detections,total,2
primary care sentinel,Austria,2024-W04,Influenza,Influenza B,B/Vic,detections,total,3
primary care sentinel,Austria,2024-W04,RSV,RSV,RSV,tests,total,0
primary care sentinel,Austria,2024-W03,Influenza,Influenza,total,detections,total,77
primary care sentinel,Austria,2024-W03,Influenza,Influenza,total,positivity,total,25.6
primary care sentinel,Austria,2024-W03,Influenza,Influenza,total,tests,total,301
primary care sentinel,Austria,2024-W03,Influenza,Influenza A,A(H1)pdm09,detections,total,69
primary care sentinel,Austria,2024-W03,Influenza,Influenza A,A(H3),detections,total,5
primary care sentinel,Austria,2024-W03,Influenza,Influenza B,B/Vic,detections,total,3
primary care sentinel,Austria,2024-W03,RSV,RSV,RSV,tests,total,0
primary care sentinel,Austria,2024-W02,Influenza,Influenza,total,detections,total,58
primary care sentinel,Austria,2024-W02,Influenza,Influenza,total,positivity,total,18.8
primary care sentinel,Austria,2024-W02,Influenza,Influenza,total,tests,total,309
primary care sentinel,Austria,2024-W02,Influenza,Influenza A,A(H1)pdm09,detections,total,53
primary care sentinel,Austria,2024-W02,Influenza,Influenza A,A(H3),detections,total,2
primary care sentinel,Austria,2024-W02,Influenza,Influenza B,B (unknown),detections,total,1
primary care sentinel,Austria,2024-W02,Influenza,Influenza B,B/Vic,detections,total,2
primary care sentinel,Austria,2024-W02,RSV,RSV,RSV,tests,total,0
primary care sentinel,Austria,2024-W01,Influenza,Influenza,total,detections,total,40
primary care sentinel,Austria,2024-W01,Influenza,Influenza,total,positivity,total,17.3
primary care sentinel,Austria,2024-W01,Influenza,Influenza,total,tests,total,231
primary care sentinel,Austria,2024-W01,Influenza,Influenza A,A(H1)pdm09,detections,total,36
primary care sentinel,Austria,2024-W01,Influenza,Influenza A,A(H3),detections,total,3
primary care sentinel,Austria,2024-W01,Influenza,Influenza B,B/Vic,detections,total,1
primary care sentinel,Austria,2024-W01,RSV,RSV,RSV,tests,total,0
primary care sentinel,Austria,2023-W52,Influenza,Influenza,total,detections,total,32
primary care sentinel,Austria,2023-W52,Influenza,Influenza,total,positivity,total,25.4
primary care sentinel,Austria,2023-W52,Influenza,Influenza,total,tests,total,126
primary care sentinel,Austria,2023-W52,Influenza,Influenza A,A(H1)pdm09,detections,total,29
primary care sentinel,Austria,2023-W52,Influenza,Influenza A,A(H3),detections,total,2
primary care sentinel,Austria,2023-W52,Influenza,Influenza B,B/Vic,detections,total,1
primary care sentinel,Austria,2023-W52,RSV,RSV,RSV,tests,total,0
primary care sentinel,Austria,2023-W51,Influenza,Influenza,total,detections,total,31
primary care sentinel,Austria,2023-W51,Influenza,Influenza,total,positivity,total,9.3
primary care sentinel,Austria,2023-W51,Influenza,Influenza,total,tests,total,334
primary care sentinel,Austria,2023-W51,Influenza,Influenza A,A (unknown),detections,total,1
primary care sentinel,Austria,2023-W51,Influenza,Influenza A,A(H1)pdm09,detections,total,26
primary care sentinel,Austria,2023-W51,Influenza,Influenza A,A(H3),detections,total,3
primary care sentinel,Austria,2023-W51,Influenza,Influenza B,B/Vic,detections,total,1
primary care sentinel,Austria,2023-W51,RSV,RSV,RSV,tests,total,0
primary care sentinel,Austria,2023-W50,Influenza,Influenza,total,detections,total,21
primary care sentinel,Austria,2023-W50,Influenza,Influenza,total,positivity,total,7.3
primary care sentinel,Austria,2023-W50,Influenza,Influenza,total,tests,total,289
primary care sentinel,Austria,2023-W50,Influenza,Influenza A,A(H1)pdm09,detections,total,21
primary care sentinel,Austria,2023-W50,RSV,RSV,RSV,tests,total,0
primary care sentinel,Austria,2023-W49,Influenza,Influenza,total,detections,total,19
primary care sentinel,Austria,2023-W49,Influenza,Influenza,total,positivity,total,8.6
primary care sentinel,Austria,2023-W49,Influenza,Influenza,total,tests,total,222
primary care sentinel,Austria,2023-W49,Influenza,Influenza A,A(H1)pdm09,detections,total,17
primary care sentinel,Austria,2023-W49,Influenza,Influenza A,A(H3),detections,total,2
primary care sentinel,Austria,2023-W49,RSV,RSV,RSV,tests,total,0
primary care sentinel,Austria,2023-W48,Influenza,Influenza,total,detections,total,7
primary care sentinel,Austria,2023-W48,Influenza,Influenza,total,positivity,total,2.7
primary care sentinel,Austria,2023-W48,Influenza,Influenza,total,tests,total,258
primary care sentinel,Austria,2023-W48,Influenza,Influenza A,A(H1)pdm09,detections,total,5
primary care sentinel,Austria,2023-W48,Influenza,Influenza A,A(H3),detections,total,2
primary care sentinel,Austria,2023-W48,RSV,RSV,RSV,tests,total,0
primary care sentinel,Austria,2023-W47,Influenza,Influenza,total,detections,total,5
primary care sentinel,Austria,2023-W47,Influenza,Influenza,total,positivity,total,2.4
primary care sentinel,Austria,2023-W47,Influenza,Influenza,total,tests,total,207
primary care sentinel,Austria,2023-W47,Influenza,Influenza A,A(H1)pdm09,detections,total,5
primary care sentinel,Austria,2023-W47,RSV,RSV,RSV,tests,total,0
primary care sentinel,Austria,2023-W46,Influenza,Influenza,total,detections,total,1
primary care sentinel,Austria,2023-W46,Influenza,Influenza,total,positivity,total,0.5
primary care sentinel,Austria,2023-W46,Influenza,Influenza,total,tests,total,192
primary care sentinel,Austria,2023-W46,Influenza,Influenza A,A(H1)pdm09,detections,total,1
primary care sentinel,Austria,2023-W46,RSV,RSV,RSV,tests,total,0
primary care sentinel,Austria,2023-W45,Influenza,Influenza,total,detections,total,3
primary care sentinel,Austria,2023-W45,Influenza,Influenza,total,positivity,total,1.8
primary care sentinel,Austria,2023-W45,Influenza,Influenza,total,tests,total,168
primary care sentinel,Austria,2023-W45,Influenza,Influenza A,A(H1)pdm09,detections,total,3
primary care sentinel,Austria,2023-W45,RSV,RSV,RSV,tests,total,0
primary care sentinel,Austria,2023-W44,Influenza,Influenza,total,detections,total,1
primary care sentinel,Austria,2023-W44,Influenza,Influenza,total,positivity,total,1.1
primary care sentinel,Austria,2023-W44,Influenza,Influenza,total,tests,total,91
primary care sentinel,Austria,2023-W44,Influenza,Influenza A,A(H1)pdm09,detections,total,1
primary care sentinel,Austria,2023-W44,RSV,RSV,RSV,tests,total,0
primary care sentinel,Austria,2023-W43,Influenza,Influenza,total,detections,total,1
primary care sentinel,Austria,2023-W43,Influenza,Influenza,total,positivity,total,1
primary care sentinel,Austria,2023-W43,Influenza,Influenza,total,tests,total,97
primary care sentinel,Austria,2023-W43,Influenza,Influenza A,A(H3),detections,total,1
primary care sentinel,Austria,2023-W43,RSV,RSV,RSV,tests,total,0
primary care sentinel,Austria,2023-W42,Influenza,Influenza,total,detections,total,1
primary care sentinel,Austria,2023-W42,Influenza,Influenza,total,positivity,total,0.6
primary care sentinel,Austria,2023-W42,Influenza,Influenza,total,tests,total,155
primary care sentinel,Austria,2023-W42,Influenza,Influenza A,A(H1)pdm09,detections,total,1
primary care sentinel,Austria,2023-W42,RSV,RSV,RSV,tests,total,0
primary care sentinel,Austria,2023-W41,Influenza,Influenza,total,tests,total,126
primary care sentinel,Austria,2023-W41,RSV,RSV,RSV,tests,total,0
primary care sentinel,Austria,2023-W40,Influenza,Influenza,total,detections,total,1
primary care sentinel,Austria,2023-W40,Influenza,Influenza,total,positivity,total,1.1
primary care sentinel,Austria,2023-W40,Influenza,Influenza,total,tests,total,91
primary care sentinel,Austria,2023-W40,Influenza,Influenza A,A(H1)pdm09,detections,total,1
primary care sentinel,Austria,2023-W40,RSV,RSV,RSV,tests,total,0
primary care sentinel,Austria,2023-W14,Influenza,Influenza,total,detections,total,8
primary care sentinel,Austria,2023-W14,Influenza,Influenza,total,positivity,total,15.4
primary care sentinel,Austria,2023-W14,Influenza,Influenza,total,tests,total,52
primary care sentinel,Austria,2023-W14,Influenza,Influenza B,B (unknown),detections,total,4
primary care sentinel,Austria,2023-W14,Influenza,Influenza B,B/Vic,detections,total,4
primary care sentinel,Austria,2023-W14,RSV,RSV,RSV,tests,total,0
