survtype,countryname,yearweek,pathogen,pathogentype,pathogensubtype,indicator,age,value
SARI virological,Belgium,2025-W22,Influenza,Influenza,total,detections,total,0
SARI virological,Belgium,2025-W22,Influenza,Influenza,total,positivity,total,0
SARI virological,Belgium,2025-W22,Influenza,Influenza,total,tests,total,22
SARI virological,Belgium,2025-W22,RSV,RSV,RSV,detections,total,0
SARI virological,Belgium,2025-W22,RSV,RSV,RSV,tests,total,0
SARI virological,Belgium,2025-W22,SARS-CoV-2,SARS-CoV-2,SARS-CoV-2,detections,total,4
SARI virological,Belgium,2025-W22,SARS-CoV-2,SARS-CoV-2,SARS-CoV-2,positivity,total,18.2
SARI virological,Belgium,2025-W22,SARS-CoV-2,SARS-CoV-2,SARS-CoV-2,tests,total,22
SARI virological,Belgium,2025-W21,Influenza,Influenza,total,detections,total,0
SARI virological,Belgium,2025-W21,Influenza,Influenza,total,positivity,total,0
SARI virological,Belgium,2025-W21,Influenza,Influenza,total,tests,total,81
SARI virological,Belgium,2025-W21,RSV,RSV,RSV,detections,total,0
SARI virological,Belgium,2025-W21,RSV,RSV,RSV,tests,total,0
SARI virological,Belgium,2025-W21,SARS-CoV-2,SARS-CoV-2,SARS-CoV-2,detections,total,8
SARI virological,Belgium,2025-W21,SARS-CoV-2,SARS-CoV-2,SARS-CoV-2,positivity,total,9.9
SARI virological,Belgium,2025-W21,SARS-CoV-2,SARS-CoV-2,SARS-CoV-2,tests,total,81
SARI virological,Belgium,2025-W20,Influenza,Influenza,total,detections,total,0
SARI virological,Belgium,2025-W20,Influenza,Influenza,total,positivity,total,0
SARI virological,Belgium,2025-W20,Influenza,Influenza,total,tests,total,67
SARI virological,Belgium,2025-W20,RSV,RSV,RSV,detections,total,0
SARI virological,Belgium,2025-W20,RSV,RSV,RSV,tests,total,0
SARI virological,Belgium,2025-W20,SARS-CoV-2,SARS-CoV-2,SARS-CoV-2,detections,total,3
SARI virological,Belgium,2025-W20,SARS-CoV-2,SARS-CoV-2,SARS-CoV-2,positivity,total,4.5
SARI virological,Belgium,2025-W20,SARS-CoV-2,SARS-CoV-2,SARS-CoV-2,tests,total,67
SARI virological,Belgium,2025-W19,Influenza,Influenza,total,detections,total,0
SARI virological,Belgium,2025-W19,Influenza,Influenza,total,positivity,total,0
SARI virological,Belgium,2025-W19,Influenza,Influenza,total,tests,total,75
SARI virological,Belgium,2025-W19,RSV,RSV,RSV,detections,total,0
SARI virological,Belgium,2025-W19,RSV,RSV,RSV,tests,total,0
SARI virological,Belgium,2025-W19,SARS-CoV-2,SARS-CoV-2,SARS-CoV-2,detections,total,4
SARI virological,Belgium,2025-W19,SARS-CoV-2,SARS-CoV-2,SARS-CoV-2,positivity,total,5.3
SARI virological,Belgium,2025-W19,SARS-CoV-2,SARS-CoV-2,SARS-CoV-2,tests,total,75
SARI virological,Belgium,2025-W18,Influenza,Influenza,total,detections,total,2
SARI virological,Belgium,2025-W18,Influenza,Influenza,total,positivity,total,1.8
SARI virological,Belgium,2025-W18,Influenza,Influenza,total,tests,total,110
SARI virological,Belgium,2025-W18,Influenza,Influenza A,A(H1)pdm09,detections,total,2
SARI virological,Belgium,2025-W18,RSV,RSV,RSV,detections,total,0
SARI virological,Belgium,2025-W18,RSV,RSV,RSV,positivity,total,0
SARI virological,Belgium,2025-W18,RSV,RSV,RSV,tests,total,3
SARI virological,Belgium,2025-W18,SARS-CoV-2,SARS-CoV-2,SARS-CoV-2,detections,total,4
SARI virological,Belgium,2025-W18,SARS-CoV-2,SARS-CoV-2,SARS-CoV-2,positivity,total,3.6
SARI virological,Belgium,2025-W18,SARS-CoV-2,SARS-CoV-2,SARS-CoV-2,tests,total,110
SARI virological,Belgium,2025-W17,Influenza,Influenza,total,detections,total,0
SARI virological,Belgium,2025-W17,Influenza,Influenza,total,positivity,total,0
SARI virological,Belgium,2025-W17,Influenza,Influenza,total,tests,total,89
SARI virological,Belgium,2025-W17,RSV,RSV,RSV,detections,total,3
SARI virological,Belgium,2025-W17,RSV,RSV,RSV,positivity,total,3.4
SARI virological,Belgium,2025-W17,RSV,RSV,RSV,tests,total,89
SARI virological,Belgium,2025-W17,RSV,RSV-B,NA,detections,total,3
SARI virological,Belgium,2025-W17,SARS-CoV-2,SARS-CoV-2,SARS-CoV-2,detections,total,2
SARI virological,Belgium,2025-W17,SARS-CoV-2,SARS-CoV-2,SARS-CoV-2,positivity,total,2.2
SARI virological,Belgium,2025-W17,SARS-CoV-2,SARS-CoV-2,SARS-CoV-2,tests,total,89
SARI virological,Belgium,2025-W16,Influenza,Influenza,total,detections,total,5
SARI virological,Belgium,2025-W16,Influenza,Influenza,total,positivity,total,4.9
SARI virological,Belgium,2025-W16,Influenza,Influenza,total,tests,total,103
SARI virological,Belgium,2025-W16,Influenza,Influenza A,A(H1)pdm09,detections,total,3
SARI virological,Belgium,2025-W16,Influenza,Influenza B,B/Vic,detections,total,2
SARI virological,Belgium,2025-W16,RSV,RSV,RSV,detections,total,3
SARI virological,Belgium,2025-W16,RSV,RSV,RSV,positivity,total,2.9
SARI virological,Belgium,2025-W16,RSV,RSV,RSV,tests,total,103
SARI virological,Belgium,2025-W16,RSV,RSV-B,NA,detections,total,3
SARI virological,Belgium,2025-W16,SARS-CoV-2,SARS-CoV-2,SARS-CoV-2,detections,total,2
SARI virological,Belgium,2025-W16,SARS-CoV-2,SARS-CoV-2,SARS-CoV-2,positivity,total,1.9
SARI virological,Belgium,2025-W16,SARS-CoV-2,SARS-CoV-2,SARS-CoV-2,tests,total,103
SARI virological,Belgium,2025-W15,Influenza,Influenza,total,detections,total,2
SARI virological,Belgium,2025-W15,Influenza,Influenza,total,positivity,total,1.8
SARI virological,Belgium,2025-W15,Influenza,Influenza,total,tests,total,111
SARI virological,Belgium,2025-W15,Influenza,Influenza B,B/Vic,detections,total,2
SARI virological,Belgium,2025-W15,RSV,RSV,RSV,detections,total,4
SARI virological,Belgium,2025-W15,RSV,RSV,RSV,positivity,total,3.6
SARI virological,Belgium,2025-W15,RSV,RSV,RSV,tests,total,111
SARI virological,Belgium,2025-W15,RSV,RSV-B,NA,detections,total,4
SARI virological,Belgium,2025-W15,SARS-CoV-2,SARS-CoV-2,SARS-CoV-2,detections,total,7
SARI virological,Belgium,2025-W15,SARS-CoV-2,SARS-CoV-2,SARS-CoV-2,positivity,total,6.3
SARI virological,Belgium,2025-W15,SARS-CoV-2,SARS-CoV-2,SARS-CoV-2,tests,total,111
SARI virological,Belgium,2025-W14,Influenza,Influenza,total,detections,total,11
SARI virological,Belgium,2025-W14,Influenza,Influenza,total,positivity,total,10.6
SARI virological,Belgium,2025-W14,Influenza,Influenza,total,tests,total,104
SARI virological,Belgium,2025-W14,Influenza,Influenza A,A(H1)pdm09,detections,total,4
SARI virological,Belgium,2025-W14,Influenza,Influenza A,A(H3),detections,total,4
SARI virological,Belgium,2025-W14,Influenza,Influenza B,B/Vic,detections,total,3
SARI virological,Belgium,2025-W14,RSV,RSV,RSV,detections,total,3
SARI virological,Belgium,2025-W14,RSV,RSV,RSV,positivity,total,2.9
SARI virological,Belgium,2025-W14,RSV,RSV,RSV,tests,total,104
SARI virological,Belgium,2025-W14,RSV,RSV-A,NA,detections,total,1
SARI virological,Belgium,2025-W14,RSV,RSV-B,NA,detections,total,2
SARI virological,Belgium,2025-W14,SARS-CoV-2,SARS-CoV-2,SARS-CoV-2,detections,total,2
SARI virological,Belgium,2025-W14,SARS-CoV-2,SARS-CoV-2,SARS-CoV-2,positivity,total,1.9
SARI virological,Belgium,2025-W14,SARS-CoV-2,SARS-CoV-2,SARS-CoV-2,tests,total,104
SARI virological,Belgium,2025-W13,Influenza,Influenza,total,detections,total,15
SARI virological,Belgium,2025-W13,Influenza,Influenza,total,positivity,total,11.5
SARI virological,Belgium,2025-W13,Influenza,Influenza,total,tests,total,131
SARI virological,Belgium,2025-W13,Influenza,Influenza A,A (unknown),detections,total,1
SARI virological,Belgium,2025-W13,Influenza,Influenza A,A(H1)pdm09,detections,total,1
SARI virological,Belgium,2025-W13,Influenza,Influenza A,A(H3),detections,total,6
SARI virological,Belgium,2025-W13,Influenza,Influenza B,B (unknown),detections,total,1
SARI virological,Belgium,2025-W13,Influenza,Influenza B,B/Vic,detections,total,6
SARI virological,Belgium,2025-W13,RSV,RSV,RSV,detections,total,10
SARI virological,Belgium,2025-W13,RSV,RSV,RSV,positivity,total,7.6
SARI virological,Belgium,2025-W13,RSV,RSV,RSV,tests,total,131
SARI virological,Belgium,2025-W13,RSV,RSV-A,NA,detections,total,1
SARI virological,Belgium,2025-W13,RSV,RSV-B,NA,detections,total,9
SARI virological,Belgium,2025-W13,SARS-CoV-2,SARS-CoV-2,SARS-CoV-2,detections,total,6
SARI virological,Belgium,2025-W13,SARS-CoV-2,SARS-CoV-2,SARS-CoV-2,positivity,total,4.6
SARI virological,Belgium,2025-W13,SARS-CoV-2,SARS-CoV-2,SARS-CoV-2,tests,total,131
SARI virological,Belgium,2025-W12,Influenza,Influenza,total,detections,total,18
SARI virological,Belgium,2025-W12,Influenza,Influenza,total,positivity,total,16.1
