survtype,countryname,yearweek,indicator,age,value
SARI syndromic,Austria,2026-W08,SARIrate,0-4,37.1
SARI syndromic,Austria,2026-W08,SARIrate,15-64,1.8
SARI syndromic,Austria,2026-W08,SARIrate,5-14,1.4
SARI syndromic,Austria,2026-W08,SARIrate,65+,23.1
SARI syndromic,Austria,2026-W08,SARIrate,total,7.7
SARI syndromic,Austria,2026-W07,SARIrate,0-4,68.6
SARI syndromic,Austria,2026-W07,SARIrate,15-64,3
SARI syndromic,Austria,2026-W07,SARIrate,5-14,4.2
SARI syndromic,Austria,2026-W07,SARIrate,65+,42.9
SARI syndromic,Austria,2026-W07,SARIrate,total,14.2
SARI syndromic,Austria,2026-W06,SARIrate,0-4,59.9
SARI syndromic,Austria,2026-W06,SARIrate,15-64,4.2
SARI syndromic,Austria,2026-W06,SARIrate,5-14,3.9
SARI syndromic,Austria,2026-W06,SARIrate,65+,49.4
SARI syndromic,Austria,2026-W06,SARIrate,total,15.8
SARI syndromic,Austria,2026-W05,SARIrate,0-4,56.5
SARI syndromic,Austria,2026-W05,SARIrate,15-64,4.1
SARI syndromic,Austria,2026-W05,SARIrate,5-14,6.4
SARI syndromic,Austria,2026-W05,SARIrate,65+,56.6
SARI syndromic,Austria,2026-W05,SARIrate,total,17.3
SARI syndromic,Austria,2026-W04,SARIrate,0-4,48.1
SARI syndromic,Austria,2026-W04,SARIrate,15-64,4.7
SARI syndromic,Austria,2026-W04,SARIrate,5-14,5.1
SARI syndromic,Austria,2026-W04,SARIrate,65+,59.2
SARI syndromic,Austria,2026-W04,SARIrate,total,17.7
SARI syndromic,Austria,2026-W03,SARIrate,0-4,28.2
SARI syndromic,Austria,2026-W03,SARIrate,15-64,4.6
SARI syndromic,Austria,2026-W03,SARIrate,5-14,3.4
SARI syndromic,Austria,2026-W03,SARIrate,65+,70.1
SARI syndromic,Austria,2026-W03,SARIrate,total,18.8
SARI syndromic,Austria,2026-W02,SARIrate,0-4,28.4
SARI syndromic,Austria,2026-W02,SARIrate,15-64,6.1
SARI syndromic,Austria,2026-W02,SARIrate,5-14,3
SARI syndromic,Austria,2026-W02,SARIrate,65+,89.6
SARI syndromic,Austria,2026-W02,SARIrate,total,23.7
SARI syndromic,Austria,2026-W01,SARIrate,0-4,47.6
SARI syndromic,Austria,2026-W01,SARIrate,15-64,7.4
SARI syndromic,Austria,2026-W01,SARIrate,5-14,6.2
SARI syndromic,Austria,2026-W01,SARIrate,65+,116.1
SARI syndromic,Austria,2026-W01,SARIrate,total,31.1
SARI syndromic,Austria,2025-W52,SARIrate,0-4,50.5
SARI syndromic,Austria,2025-W52,SARIrate,15-64,8.3
SARI syndromic,Austria,2025-W52,SARIrate,5-14,9
SARI syndromic,Austria,2025-W52,SARIrate,65+,110
SARI syndromic,Austria,2025-W52,SARIrate,total,30.8
SARI syndromic,Austria,2025-W51,SARIrate,0-4,51.3
SARI syndromic,Austria,2025-W51,SARIrate,15-64,6.8
SARI syndromic,Austria,2025-W51,SARIrate,5-14,10.1
SARI syndromic,Austria,2025-W51,SARIrate,65+,92.2
SARI syndromic,Austria,2025-W51,SARIrate,total,26.4
SARI syndromic,Austria,2025-W50,SARIrate,0-4,39.7
SARI syndromic,Austria,2025-W50,SARIrate,15-64,5.9
SARI syndromic,Austria,2025-W50,SARIrate,5-14,7.2
SARI syndromic,Austria,2025-W50,SARIrate,65+,76.1
SARI syndromic,Austria,2025-W50,SARIrate,total,21.7
SARI syndromic,Austria,2025-W49,SARIrate,0-4,31.5
SARI syndromic,Austria,2025-W49,SARIrate,15-64,5.5
SARI syndromic,Austria,2025-W49,SARIrate,5-14,8
SARI syndromic,Austria,2025-W49,SARIrate,65+,65.1
SARI syndromic,Austria,2025-W49,SARIrate,total,19
SARI syndromic,Austria,2025-W48,SARIrate,0-4,26.2
SARI syndromic,Austria,2025-W48,SARIrate,15-64,3.9
SARI syndromic,Austria,2025-W48,SARIrate,5-14,4.7
SARI syndromic,Austria,2025-W48,SARIrate,65+,50.8
SARI syndromic,Austria,2025-W48,SARIrate,total,14.5
SARI syndromic,Austria,2025-W47,SARIrate,0-4,27.2
SARI syndromic,Austria,2025-W47,SARIrate,15-64,3.5
SARI syndromic,Austria,2025-W47,SARIrate,5-14,4
SARI syndromic,Austria,2025-W47,SARIrate,65+,46.4
SARI syndromic,Austria,2025-W47,SARIrate,total,13.3
SARI syndromic,Austria,2025-W46,SARIrate,0-4,21.9
SARI syndromic,Austria,2025-W46,SARIrate,15-64,3.6
SARI syndromic,Austria,2025-W46,SARIrate,5-14,2.4
SARI syndromic,Austria,2025-W46,SARIrate,65+,46.2
SARI syndromic,Austria,2025-W46,SARIrate,total,12.9
SARI syndromic,Austria,2025-W45,SARIrate,0-4,20.9
SARI syndromic,Austria,2025-W45,SARIrate,15-64,3.5
SARI syndromic,Austria,2025-W45,SARIrate,5-14,2.4
SARI syndromic,Austria,2025-W45,SARIrate,65+,44.9
SARI syndromic,Austria,2025-W45,SARIrate,total,12.5
SARI syndromic,Austria,2025-W44,SARIrate,0-4,21.4
SARI syndromic,Austria,2025-W44,SARIrate,15-64,3.3
SARI syndromic,Austria,2025-W44,SARIrate,5-14,2.1
SARI syndromic,Austria,2025-W44,SARIrate,65+,48.8
SARI syndromic,Austria,2025-W44,SARIrate,total,13.2
SARI syndromic,Austria,2025-W43,SARIrate,0-4,20.7
SARI syndromic,Austria,2025-W43,SARIrate,15-64,3.5
SARI syndromic,Austria,2025-W43,SARIrate,5-14,3.9
SARI syndromic,Austria,2025-W43,SARIrate,65+,53.1
SARI syndromic,Austria,2025-W43,SARIrate,total,14.3
SARI syndromic,Austria,2025-W42,SARIrate,0-4,25.3
SARI syndromic,Austria,2025-W42,SARIrate,15-64,4.3
SARI syndromic,Austria,2025-W42,SARIrate,5-14,4
SARI syndromic,Austria,2025-W42,SARIrate,65+,52.3
SARI syndromic,Austria,2025-W42,SARIrate,total,14.9
SARI syndromic,Austria,2025-W41,SARIrate,0-4,32.7
SARI syndromic,Austria,2025-W41,SARIrate,15-64,3.9
SARI syndromic,Austria,2025-W41,SARIrate,5-14,3.4
SARI syndromic,Austria,2025-W41,SARIrate,65+,51.6
SARI syndromic,Austria,2025-W41,SARIrate,total,14.8
SARI syndromic,Austria,2025-W40,SARIrate,0-4,24.8
SARI syndromic,Austria,2025-W40,SARIrate,15-64,3.2
SARI syndromic,Austria,2025-W40,SARIrate,5-14,2.9
SARI syndromic,Austria,2025-W40,SARIrate,65+,47.9
