survtype,countryname,yearweek,pathogen,pathogentype,pathogensubtype,indicator,age,value
non-sentinel,Austria,2026-W20,Influenza,Influenza,total,detections,total,1
non-sentinel,Austria,2026-W20,Influenza,Influenza,total,tests,total,97
non-sentinel,Austria,2026-W20,Influenza,Influenza A,A (unknown),detections,total,1
non-sentinel,Austria,2026-W20,RSV,RSV,RSV,detections,total,0
non-sentinel,Austria,2026-W20,RSV,RSV,RSV,tests,total,154
non-sentinel,Austria,2026-W20,SARS-CoV-2,SARS-CoV-2,SARS-CoV-2,detections,0-4,0
non-sentinel,Austria,2026-W20,SARS-CoV-2,SARS-CoV-2,SARS-CoV-2,detections,15-64,0
non-sentinel,Austria,2026-W20,SARS-CoV-2,SARS-CoV-2,SARS-CoV-2,detections,5-14,0
non-sentinel,Austria,2026-W20,SARS-CoV-2,SARS-CoV-2,SARS-CoV-2,detections,65+,0
non-sentinel,Austria,2026-W20,SARS-CoV-2,SARS-CoV-2,SARS-CoV-2,detections,total,0
non-sentinel,Austria,2026-W20,SARS-CoV-2,SARS-CoV-2,SARS-CoV-2,detections,unk,0
non-sentinel,Austria,2026-W20,SARS-CoV-2,SARS-CoV-2,SARS-CoV-2,tests,0-4,0
non-sentinel,Austria,2026-W20,SARS-CoV-2,SARS-CoV-2,SARS-CoV-2,tests,15-64,0
non-sentinel,Austria,2026-W20,SARS-CoV-2,SARS-CoV-2,SARS-CoV-2,tests,5-14,0
non-sentinel,Austria,2026-W20,SARS-CoV-2,SARS-CoV-2,SARS-CoV-2,tests,65+,0
non-sentinel,Austria,2026-W20,SARS-CoV-2,SARS-CoV-2,SARS-CoV-2,tests,total,57
non-sentinel,Austria,2026-W20,SARS-CoV-2,SARS-CoV-2,SARS-CoV-2,tests,unk,57
non-sentinel,Austria,2026-W19,Influenza,Influenza,total,detections,total,1
non-sentinel,Austria,2026-W19,Influenza,Influenza,total,tests,total,108
non-sentinel,Austria,2026-W19,Influenza,Influenza B,B (unknown),detections,total,1
non-sentinel,Austria,2026-W19,RSV,RSV,RSV,detections,total,3
non-sentinel,Austria,2026-W19,RSV,RSV,RSV,tests,total,164
non-sentinel,Austria,2026-W19,RSV,RSV untyped,NA,detections,total,3
non-sentinel,Austria,2026-W19,SARS-CoV-2,SARS-CoV-2,SARS-CoV-2,detections,0-4,0
non-sentinel,Austria,2026-W19,SARS-CoV-2,SARS-CoV-2,SARS-CoV-2,detections,15-64,0
non-sentinel,Austria,2026-W19,SARS-CoV-2,SARS-CoV-2,SARS-CoV-2,detections,5-14,0
non-sentinel,Austria,2026-W19,SARS-CoV-2,SARS-CoV-2,SARS-CoV-2,detections,65+,0
non-sentinel,Austria,2026-W19,SARS-CoV-2,SARS-CoV-2,SARS-CoV-2,detections,total,0
non-sentinel,Austria,2026-W19,SARS-CoV-2,SARS-CoV-2,SARS-CoV-2,detections,unk,0
non-sentinel,Austria,2026-W19,SARS-CoV-2,SARS-CoV-2,SARS-CoV-2,tests,0-4,0
non-sentinel,Austria,2026-W19,SARS-CoV-2,SARS-CoV-2,SARS-CoV-2,tests,15-64,0
non-sentinel,Austria,2026-W19,SARS-CoV-2,SARS-CoV-2,SARS-CoV-2,tests,5-14,0
non-sentinel,Austria,2026-W19,SARS-CoV-2,SARS-CoV-2,SARS-CoV-2,tests,65+,0
non-sentinel,Austria,2026-W19,SARS-CoV-2,SARS-CoV-2,SARS-CoV-2,tests,total,57
