survtype,datasource,countryname,yearweek,pathogen,indicator,age,value,detectableprevalence
SARS-CoV-2 variant,GISAID,Austria,2026-W36,SARS-CoV-2,2-week count of sequences,total,0,No data
SARS-CoV-2 variant,GISAID,Austria,2026-W35,SARS-CoV-2,2-week count of sequences,total,0,No data
SARS-CoV-2 variant,GISAID,Austria,2026-W34,SARS-CoV-2,2-week count of sequences,total,0,No data
SARS-CoV-2 variant,GISAID,Austria,2026-W33,SARS-CoV-2,2-week count of sequences,total,0,No data
SARS-CoV-2 variant,GISAID,Austria,2026-W32,SARS-CoV-2,2-week count of sequences,total,0,No data
SARS-CoV-2 variant,GISAID,Austria,2026-W31,SARS-CoV-2,2-week count of sequences,total,0,No data
SARS-CoV-2 variant,GISAID,Austria,2026-W30,SARS-CoV-2,2-week count of sequences,total,0,No data
SARS-CoV-2 variant,GISAID,Austria,2026-W29,SARS-CoV-2,2-week count of sequences,total,0,No data
SARS-CoV-2 variant,GISAID,Austria,2026-W28,SARS-CoV-2,2-week count of sequences,total,0,No data
SARS-CoV-2 variant,GISAID,Austria,2026-W27,SARS-CoV-2,2-week count of sequences,total,0,No data
SARS-CoV-2 variant,GISAID,Austria,2026-W26,SARS-CoV-2,2-week count of sequences,total,0,No data
SARS-CoV-2 variant,GISAID,Austria,2026-W25,SARS-CoV-2,2-week count of sequences,total,0,No data
SARS-CoV-2 variant,GISAID,Austria,2026-W24,SARS-CoV-2,2-week count of sequences,total,0,No data
SARS-CoV-2 variant,GISAID,Austria,2026-W23,SARS-CoV-2,2-week count of sequences,total,0,No data
SARS-CoV-2 variant,GISAID,Austria,2026-W22,SARS-CoV-2,2-week count of sequences,total,0,No data
SARS-CoV-2 variant,GISAID,Austria,2026-W21,SARS-CoV-2,2-week count of sequences,total,0,No data
SARS-CoV-2 variant,GISAID,Austria,2026-W20,SARS-CoV-2,2-week count of sequences,total,0,No data
SARS-CoV-2 variant,GISAID,Austria,2026-W19,SARS-CoV-2,2-week count of sequences,total,0,No data
SARS-CoV-2 variant,GISAID,Austria,2026-W18,SARS-CoV-2,2-week count of sequences,total,0,No data
SARS-CoV-2 variant,GISAID,Austria,2026-W17,SARS-CoV-2,2-week count of sequences,total,0,No data
SARS-CoV-2 variant,GISAID,Austria,2026-W16,SARS-CoV-2,2-week count of sequences,total,0,No data
SARS-CoV-2 variant,GISAID,Austria,2026-W15,SARS-CoV-2,2-week count of sequences,total,0,No data
SARS-CoV-2 variant,GISAID,Austria,2026-W14,SARS-CoV-2,2-week count of sequences,total,0,No data
SARS-CoV-2 variant,GISAID,Austria,2026-W13,SARS-CoV-2,2-week count of sequences,total,0,No data
SARS-CoV-2 variant,GISAID,Austria,2026-W12,SARS-CoV-2,2-week count of sequences,total,0,No data
SARS-CoV-2 variant,GISAID,Austria,2026-W11,SARS-CoV-2,2-week count of sequences,total,0,No data
SARS-CoV-2 variant,GISAID,Austria,2026-W10,SARS-CoV-2,2-week count of sequences,total,0,No data
SARS-CoV-2 variant,GISAID,Austria,2026-W09,SARS-CoV-2,2-week count of sequences,total,0,No data
SARS-CoV-2 variant,GISAID,Austria,2026-W08,SARS-CoV-2,2-week count of sequences,total,0,No data
SARS-CoV-2 variant,GISAID,Austria,2026-W07,SARS-CoV-2,2-week count of sequences,total,0,No data
SARS-CoV-2 variant,GISAID,Austria,2026-W06,SARS-CoV-2,2-week count of sequences,total,0,No data
SARS-CoV-2 variant,GISAID,Austria,2026-W05,SARS-CoV-2,2-week count of sequences,total,0,No data
SARS-CoV-2 variant,GISAID,Austria,2026-W04,SARS-CoV-2,2-week count of sequences,total,0,No data
SARS-CoV-2 variant,GISAID,Austria,2026-W03,SARS-CoV-2,2-week count of sequences,total,0,No data
SARS-CoV-2 variant,GISAID,Austria,2026-W02,SARS-CoV-2,2-week count of sequences,total,0,No data
SARS-CoV-2 variant,GISAID,Austria,2026-W01,SARS-CoV-2,2-week count of sequences,total,0,No data
SARS-CoV-2 variant,GISAID,Austria,2025-W52,SARS-CoV-2,2-week count of sequences,total,1,>15%
SARS-CoV-2 variant,GISAID,Austria,2025-W51,SARS-CoV-2,2-week count of sequences,total,5,>15%
SARS-CoV-2 variant,GISAID,Austria,2025-W50,SARS-CoV-2,2-week count of sequences,total,7,>15%
SARS-CoV-2 variant,GISAID,Austria,2025-W49,SARS-CoV-2,2-week count of sequences,total,7,>15%
SARS-CoV-2 variant,GISAID,Austria,2025-W48,SARS-CoV-2,2-week count of sequences,total,4,>15%
SARS-CoV-2 variant,GISAID,Austria,2025-W47,SARS-CoV-2,2-week count of sequences,total,0,No data
SARS-CoV-2 variant,GISAID,Austria,2025-W46,SARS-CoV-2,2-week count of sequences,total,0,No data
SARS-CoV-2 variant,GISAID,Austria,2025-W45,SARS-CoV-2,2-week count of sequences,total,0,No data
SARS-CoV-2 variant,GISAID,Austria,2025-W44,SARS-CoV-2,2-week count of sequences,total,2,>15%
SARS-CoV-2 variant,GISAID,Austria,2025-W43,SARS-CoV-2,2-week count of sequences,total,4,>15%
SARS-CoV-2 variant,GISAID,Austria,2025-W42,SARS-CoV-2,2-week count of sequences,total,4,>15%
SARS-CoV-2 variant,GISAID,Austria,2025-W41,SARS-CoV-2,2-week count of sequences,total,8,>15%
SARS-CoV-2 variant,GISAID,Austria,2025-W40,SARS-CoV-2,2-week count of sequences,total,6,>15%
SARS-CoV-2 variant,GISAID,Austria,2025-W39,SARS-CoV-2,2-week count of sequences,total,0,No data
SARS-CoV-2 variant,GISAID,Austria,2025-W38,SARS-CoV-2,2-week count of sequences,total,0,No data
SARS-CoV-2 variant,GISAID,Austria,2025-W37,SARS-CoV-2,2-week count of sequences,total,0,No data
SARS-CoV-2 variant,GISAID,Austria,2025-W36,SARS-CoV-2,2-week count of sequences,total,0,No data
SARS-CoV-2 variant,GISAID,Austria,2025-W35,SARS-CoV-2,2-week count of sequences,total,0,No data
SARS-CoV-2 variant,GISAID,Austria,2025-W34,SARS-CoV-2,2-week count of sequences,total,0,No data
SARS-CoV-2 variant,GISAID,Austria,2025-W33,SARS-CoV-2,2-week count of sequences,total,0,No data
SARS-CoV-2 variant,GISAID,Austria,2025-W32,SARS-CoV-2,2-week count of sequences,total,0,No data
SARS-CoV-2 variant,GISAID,Austria,2025-W31,SARS-CoV-2,2-week count of sequences,total,0,No data
SARS-CoV-2 variant,GISAID,Austria,2025-W30,SARS-CoV-2,2-week count of sequences,total,0,No data
SARS-CoV-2 variant,GISAID,Austria,2025-W29,SARS-CoV-2,2-week count of sequences,total,0,No data
SARS-CoV-2 variant,GISAID,Austria,2025-W28,SARS-CoV-2,2-week count of sequences,total,0,No data
SARS-CoV-2 variant,GISAID,Austria,2025-W27,SARS-CoV-2,2-week count of sequences,total,0,No data
